YEARS;MONTH;NAME;LINK;start_date;end_date
1974;September;Dick Higgins;https://www.raphaelleonardlevy.com/jeansellem/dick-higgins;;
1974;September;Christian Boltanski;https://www.raphaelleonardlevy.com/jeansellem/christian-boltanski;;
1974;September;Bertil Falk;https://www.raphaelleonardlevy.com/jeansellem/bertil-falk;;
1974;October;Carsten Regild;https://www.raphaelleonardlevy.com/jeansellem/carsten-regild;;
1974;October;Bernard Heidsieck;https://www.raphaelleonardlevy.com/jeansellem/bernard-heidsieck;;
1974;November;Bengt af Klintberg;https://www.raphaelleonardlevy.com/jeansellem/bengt-af-klintberg;;
1974;November;Ursula Reuter Christiansen;https://www.raphaelleonardlevy.com/jeansellem/ursula-reuter-christiansen;;
1974;November;ART Symposium - Ubbeboda Center;https://www.raphaelleonardlevy.com/jeansellem/art-symposium-ubbeboda-center;;
1974;December;Discussion About Gallery S:T Petri;https://www.raphaelleonardlevy.com/jeansellem/discussion-about-gallery-st-petri;;
1974;December;Lene Adler Petersen;https://www.raphaelleonardlevy.com/jeansellem/lene-adler-petersen;;
1974;December;Olle Nessle;https://www.raphaelleonardlevy.com/jeansellem/olle-nessle;;
1974;December;Christmas Eve with Poetry;https://www.raphaelleonardlevy.com/jeansellem/christmas-eve-with-poetry;;
1975;January;Francesc Torres;https://www.raphaelleonardlevy.com/jeansellem/francesc-torres;;
1975;January;Jean Le Gac;https://www.raphaelleonardlevy.com/jeansellem/jean-le-gac;;
1975;January;Werner Brenner;https://www.raphaelleonardlevy.com/jeansellem/werner-brenner-1975;;
1975;February;Tony Costa & Jan Costa;https://www.raphaelleonardlevy.com/jeansellem/tony-costa-jan-costa;;
1975;February;Catastrophe Art;https://www.raphaelleonardlevy.com/jeansellem/catastrophe-art;;
1975;February;Henrik Have;https://www.raphaelleonardlevy.com/jeansellem/henrik-have-1975;;
1975;February;Jørgen Nash;https://www.raphaelleonardlevy.com/jeansellem/joergen-nash;;
1975;March;Hervé Fischer;https://www.raphaelleonardlevy.com/jeansellem/herve-fischer;;
1975;March;Messager & Boltanski & Gette & Le Gac;https://www.raphaelleonardlevy.com/jeansellem/messager-boltanski-gette-le-gac;;
1975;March;Multi-Media Aktionsteater;https://www.raphaelleonardlevy.com/jeansellem/multi-media-aktionsteater;;
1975;March;Phil Berkman;https://www.raphaelleonardlevy.com/jeansellem/phil-berkman;;
1975;April;Eric Andersen;https://www.raphaelleonardlevy.com/jeansellem/eric-andersen;;
1975;April;Jacques Charlier;https://www.raphaelleonardlevy.com/jeansellem/jacques-charlier;;
1975;May;Tom Krøjer;https://www.raphaelleonardlevy.com/jeansellem/tom-krojer;;
1975;May;Linda;https://www.raphaelleonardlevy.com/jeansellem/linda;;
1975;May;Jean - Francois Bory;https://www.raphaelleonardlevy.com/jeansellem/jean-francois-bory;;
1975;June;Oscar Reutersvärd;https://www.raphaelleonardlevy.com/jeansellem/oscar-reutersvard;;
1975;June;Stig Larsson & Thomas Näsholm;https://www.raphaelleonardlevy.com/jeansellem/stig-larsson-thomas-nasholm;;
1975;July;Allan Bealy;https://www.raphaelleonardlevy.com/jeansellem/allan-bealy;;
1975;August;100 Days Symposium Ubbeboda;https://www.raphaelleonardlevy.com/jeansellem/100-days-symposium-ubbeboda;;
1975;August;Susanne Valentin & Marten Lindblom;https://www.raphaelleonardlevy.com/jeansellem/susanne-valentin-marten-lindblom;;
1975;August;Keiji Uematsu;https://www.raphaelleonardlevy.com/jeansellem/keiji-uematsu;;
1975;August;Bjørn Nørgaard;https://www.raphaelleonardlevy.com/jeansellem/bjorn-norgaard;;
1975;August;Ken Friedman;https://www.raphaelleonardlevy.com/jeansellem/ken-friedman;;
1975;August;Ubbeboda Center Symposium;https://www.raphaelleonardlevy.com/jeansellem/ubbeboda-center-symposium;;
1975;September;Cayc;https://www.raphaelleonardlevy.com/jeansellem/cayc;;
1975;September;Reindeer Werk;https://www.raphaelleonardlevy.com/jeansellem/reindeer-werk;;
1975;September;Carsten Regild & Rolf Börjlind;https://www.raphaelleonardlevy.com/jeansellem/carsten-regild-rolf-borjlind;;
1975;October;Anthony Mccall;https://www.raphaelleonardlevy.com/jeansellem/anthony-mccall;;
1975;October;Endre Tót;https://www.raphaelleonardlevy.com/jeansellem/endre-tot;;
1975;November;Flemming Koefoed;https://www.raphaelleonardlevy.com/jeansellem/flemming-koefoed;;
1975;November;Albert Mertz;https://www.raphaelleonardlevy.com/jeansellem/albert-mertz;;
1975;December;Anna Kutera;https://www.raphaelleonardlevy.com/jeansellem/anna-kutera;;
1975;December;Mette Aarre;https://www.raphaelleonardlevy.com/jeansellem/mette-aarre;;
1976;January;Terry Berkowitz;https://www.raphaelleonardlevy.com/jeansellem/terry-berkowitz;;
1976;January;Michael Crane;https://www.raphaelleonardlevy.com/jeansellem/michael-crane;;
1976;February;Contextual Art;https://www.raphaelleonardlevy.com/jeansellem/contextual-art;;
1976;February;Krzysztof Wodiczko;https://www.raphaelleonardlevy.com/jeansellem/krzysztof-wodiczko;;
1976;March;Beau Geste Press;https://www.raphaelleonardlevy.com/jeansellem/beau-geste-press;;
1976;March;Anne Behrndt;https://www.raphaelleonardlevy.com/jeansellem/anne-behrndt;;
1976;April;Fukiko Nakabayashi;https://www.raphaelleonardlevy.com/jeansellem/fukiko-nakabayashi;;
1976;April;Douglas Huebler;https://www.raphaelleonardlevy.com/jeansellem/douglas-huebler;;
1976;April;Christiania;https://www.raphaelleonardlevy.com/jeansellem/christiania;;
1976;May;Yumiko Kodama;https://www.raphaelleonardlevy.com/jeansellem/yumiko-kodama;;
1976;June;István Szirányi;https://www.raphaelleonardlevy.com/jeansellem/istvan-sziranyi;;
1976;June;Ann-Charlotte + Sture Johannesson;https://www.raphaelleonardlevy.com/jeansellem/ann-charlotte-sture-johannesson;;
1976;June;Made in the 20th cent.;https://www.raphaelleonardlevy.com/jeansellem/made-in-the-20th-cent;;
1976;June;Yumiko;https://www.raphaelleonardlevy.com/jeansellem/yumiko;;
1976;September;Kollektiv Herzogstrasse;https://www.raphaelleonardlevy.com/jeansellem/kollektiv-herzogstrasse;;
1976;September;5 years Galerie S:t Petri 1971 - 1976;https://www.raphaelleonardlevy.com/jeansellem/5-years-galerie-st-petri-1971-1976;;
1976;September;Erik Gram:hanssen;https://www.raphaelleonardlevy.com/jeansellem/erik-gram-hanssen;;
1976;September;Thomas Niggl;https://www.raphaelleonardlevy.com/jeansellem/thomas-niggl;;
1976;September;Françoise Sullivan;https://www.raphaelleonardlevy.com/jeansellem/francoise-sullivan;;
1976;October;Ulf Berg;https://www.raphaelleonardlevy.com/jeansellem/ulf-berg;;
1976;October;Concert : Volterra 1974-75;https://www.raphaelleonardlevy.com/jeansellem/concert-volterra-1974-75;;
1976;October;John Faichney + Ron Gillespie;https://www.raphaelleonardlevy.com/jeansellem/john-faichney-ron-gillespie;;
1976;October;Leo Nilsson + Tom Krøjer;https://www.raphaelleonardlevy.com/jeansellem/leo-nilsson-tom-krøjer;;
1976;October;Carstens Regild;https://www.raphaelleonardlevy.com/jeansellem/carstens-regild;;
1976;November;Joan Mathews;https://www.raphaelleonardlevy.com/jeansellem/joan-mathews;;
1976;December;Jean Topazzini;https://www.raphaelleonardlevy.com/jeansellem/jean-topazzini;;
1976;December;Carsten Nash;https://www.raphaelleonardlevy.com/jeansellem/carsten-nash;;
1977;January;Peter Mandrup Hansen;https://www.raphaelleonardlevy.com/jeansellem/peter-mandrup-hansen;;
1977;January;Jaroslaw Kozlowski;https://www.raphaelleonardlevy.com/jeansellem/jaroslaw-kozlowski;;
1977;January;Steen Høyer;https://www.raphaelleonardlevy.com/jeansellem/steen-hoyer;;
1977;January;Peace Please;https://www.raphaelleonardlevy.com/jeansellem/peace-please;;
1977;February;Michel Dansel;https://www.raphaelleonardlevy.com/jeansellem/michel-dansel;;
1977;March;Kirsten Dehlholm and Mistin;https://www.raphaelleonardlevy.com/jeansellem/kirsten-dehlholm-and-mistin;;
1977;March;Fred Forest;https://www.raphaelleonardlevy.com/jeansellem/fred-forest;;
1977;March;Gert Glentow + Valdemar Wentz;https://www.raphaelleonardlevy.com/jeansellem/gert-glentow-valdemar-wentz;;
1977;March;Guglielmo Achille Cavellini;https://www.raphaelleonardlevy.com/jeansellem/guglielmo-achille-cavellini;;
1977;April;Gallery Closed 01.04-30.11;https://www.raphaelleonardlevy.com/jeansellem/gallery-closed-01-04-30-11;;
1977;December;Lubomyr Melnyk;https://www.raphaelleonardlevy.com/jeansellem/lubomyr-melnyk;;
1977;December;Lubomyr Melnyk 2;https://www.raphaelleonardlevy.com/jeansellem/lubomyr-melnyk-2;;
1977;December;Andrzej Ploski;https://www.raphaelleonardlevy.com/jeansellem/andrzej-ploski;;
1977;December;Lundadabank;https://www.raphaelleonardlevy.com/jeansellem/lundadabank;;
1978;January;Coum;https://www.raphaelleonardlevy.com/jeansellem/coum;;
1978;February;Klaus Groh;https://www.raphaelleonardlevy.com/jeansellem/klaus-groh;;
1978;February;Bruno Demattio & Swami Anand Veeresh;https://www.raphaelleonardlevy.com/jeansellem/bruno-demattio-swami-anand-veeresh;;
1978;March;Steen Høyer;https://www.raphaelleonardlevy.com/jeansellem/steen-hoyer;;
1978;March;Maria Nevelson;https://www.raphaelleonardlevy.com/jeansellem/maria-nevelson;;
1978;March;Roberto Altmann;https://www.raphaelleonardlevy.com/jeansellem/roberto-altmann;;
1978;March;Phil Berkman & John Dedomenico & Carl Johnson & John Spray;https://www.raphaelleonardlevy.com/jeansellem/phil-berkman-john-dedomenico-carl-johnson-john-spray;;
1978;March;Joëlle Dautricourt;https://www.raphaelleonardlevy.com/jeansellem/joelle-dautricourt;;
